user_id,play_iteration_id,episode_id,standard,instance,support_level,taskcount,task_id,task_description,why_important,time_completed
1,2,1,null,null,null,137,30,EPISODE EXIT,null,1/31/18 21:53
1,2,1,null,null,null,138,30,EPISODE EXIT,null,1/31/18 21:53
1,2,1,null,null,null,139,30,EPISODE EXIT,null,1/31/18 21:54
1,2,1,null,null,null,140,30,EPISODE EXIT,null,1/31/18 21:56
1,2,1,null,null,null,141,30,EPISODE EXIT,null,1/31/18 21:58
1,2,1,null,null,null,142,30,EPISODE EXIT,null,1/31/18 21:58
1,2,1,null,null,null,143,30,EPISODE EXIT,null,1/31/18 21:58
1,2,1,null,null,null,144,30,EPISODE EXIT,null,1/31/18 22:01
1,2,1,null,null,null,145,30,EPISODE EXIT,null,1/31/18 22:02
1,2,1,null,null,null,146,30,EPISODE EXIT,null,2/1/18 15:59
1,2,1,null,null,null,147,30,EPISODE EXIT,null,2/1/18 16:09
1,2,1,null,null,null,148,30,EPISODE EXIT,null,2/1/18 16:11
1,2,1,null,null,null,149,30,EPISODE EXIT,null,2/1/18 17:15
1,2,1,null,null,null,150,30,EPISODE EXIT,null,2/1/18 17:20
1,2,1,null,null,null,151,30,EPISODE EXIT,null,2/1/18 17:20
1,2,1,null,null,null,152,30,EPISODE EXIT,null,2/2/18 17:40
1,2,1,null,null,null,153,30,EPISODE EXIT,null,2/2/18 17:40
1,2,1,null,null,null,154,30,EPISODE EXIT,null,2/2/18 17:41
1,2,1,null,null,null,155,30,EPISODE EXIT,null,2/3/18 1:38
1,2,1,null,null,null,156,30,EPISODE EXIT,null,2/3/18 1:39
1,2,1,null,null,null,157,30,EPISODE EXIT,null,2/3/18 1:41
1,2,1,null,null,null,158,30,EPISODE EXIT,null,2/8/18 17:17
1,2,1,null,null,null,159,30,EPISODE EXIT,null,2/8/18 17:19
1,2,1,null,null,null,160,30,EPISODE EXIT,null,2/8/18 18:01
1,2,1,null,null,null,161,30,EPISODE EXIT,null,2/8/18 18:01
1,2,1,null,null,null,162,30,EPISODE EXIT,null,2/8/18 18:02
1,2,1,null,null,null,163,30,EPISODE EXIT,null,2/8/18 18:03
1,2,1,null,null,null,164,30,EPISODE EXIT,null,2/8/18 18:03
1,2,1,null,null,null,165,30,EPISODE EXIT,null,2/8/18 18:04
1,2,1,null,null,null,166,30,EPISODE EXIT,null,2/8/18 18:05
1,2,1,null,null,null,167,30,EPISODE EXIT,null,2/8/18 18:06
1,2,1,null,null,null,168,30,EPISODE EXIT,null,2/8/18 18:07
1,2,1,null,null,null,169,30,EPISODE EXIT,null,2/8/18 18:08
1,2,1,null,null,null,1,35,Hello Kitty,null,12/8/17 20:32
1,2,1,null,null,null,2,35,Hello Kitty,null,12/8/17 20:40
1,2,1,null,null,null,3,35,Hello Kitty,null,12/13/17 18:21
1,2,1,null,null,null,4,35,Hello Kitty,null,12/13/17 21:53
1,2,1,null,null,null,5,35,Hello Kitty,null,12/14/17 2:30
1,2,1,null,null,null,6,35,Hello Kitty,null,12/19/17 14:35
1,2,1,null,null,null,7,35,Hello Kitty,null,12/21/17 13:52
1,2,1,null,null,null,8,35,Hello Kitty,null,1/4/18 18:34
1,2,1,null,null,null,9,35,Hello Kitty,null,1/4/18 18:53
1,2,1,null,null,null,10,35,Hello Kitty,null,1/5/18 18:27
1,2,1,null,null,null,11,35,Hello Kitty,null,1/5/18 18:27
1,2,1,null,null,null,12,35,Hello Kitty,null,1/5/18 18:27
1,2,1,null,null,null,13,35,Hello Kitty,null,1/10/18 16:36
1,2,1,null,null,null,14,35,Hello Kitty,null,1/22/18 19:07
1,2,1,null,null,null,15,35,Hello Kitty,null,1/23/18 17:10
1,2,1,null,null,null,16,35,Hello Kitty,null,1/23/18 17:10
1,2,1,null,null,null,17,35,Hello Kitty,null,1/23/18 17:10
1,2,1,null,null,null,18,35,Hello Kitty,null,1/26/18 21:14
1,2,1,null,null,null,19,35,Hello Kitty,null,1/30/18 20:43
1,2,1,null,null,null,20,35,Hello Kitty,null,2/1/18 16:10
1,2,1,null,null,null,21,35,Hello Kitty,null,2/1/18 17:22
1,2,1,null,null,null,22,35,Hello Kitty,null,2/3/18 1:40
1,2,1,null,null,null,1,37,Exit Episode Staff Meeting,null,12/8/17 20:30
1,2,1,null,null,null,2,37,Exit Episode Staff Meeting,null,12/8/17 20:31
1,2,1,null,null,null,3,37,Exit Episode Staff Meeting,null,12/8/17 20:31
1,2,1,null,null,null,4,37,Exit Episode Staff Meeting,null,12/8/17 20:37
1,2,1,null,null,null,5,37,Exit Episode Staff Meeting,null,12/8/17 20:37
1,2,1,null,null,null,6,37,Exit Episode Staff Meeting,null,12/12/17 0:59
1,2,1,null,null,null,7,37,Exit Episode Staff Meeting,null,12/12/17 1:06
1,2,1,null,null,null,8,37,Exit Episode Staff Meeting,null,12/12/17 5:32
1,2,1,null,null,null,9,37,Exit Episode Staff Meeting,null,12/12/17 5:33
1,2,1,null,null,null,10,37,Exit Episode Staff Meeting,null,12/12/17 17:04
1,2,1,null,null,null,11,37,Exit Episode Staff Meeting,null,12/13/17 4:07
1,2,1,null,null,null,12,37,Exit Episode Staff Meeting,null,12/13/17 4:12
1,2,1,null,null,null,13,37,Exit Episode Staff Meeting,null,12/13/17 4:15
1,2,1,null,null,null,14,37,Exit Episode Staff Meeting,null,12/13/17 4:16
1,2,1,null,null,null,15,37,Exit Episode Staff Meeting,null,12/13/17 4:17
1,2,1,null,null,null,16,37,Exit Episode Staff Meeting,null,12/13/17 4:43
1,2,1,null,null,null,17,37,Exit Episode Staff Meeting,null,12/13/17 13:37
1,2,1,null,null,null,18,37,Exit Episode Staff Meeting,null,12/13/17 13:37
1,2,1,null,null,null,19,37,Exit Episode Staff Meeting,null,12/13/17 13:37
1,2,1,null,null,null,20,37,Exit Episode Staff Meeting,null,12/13/17 13:37
1,2,1,null,null,null,21,37,Exit Episode Staff Meeting,null,12/13/17 13:37
1,2,1,null,null,null,22,37,Exit Episode Staff Meeting,null,12/13/17 13:37
1,2,1,null,null,null,23,37,Exit Episode Staff Meeting,null,12/13/17 13:38
1,2,1,null,null,null,24,37,Exit Episode Staff Meeting,null,12/13/17 13:38
1,2,1,null,null,null,25,37,Exit Episode Staff Meeting,null,12/13/17 13:38
1,2,1,null,null,null,26,37,Exit Episode Staff Meeting,null,12/13/17 13:38
1,2,1,null,null,null,27,37,Exit Episode Staff Meeting,null,12/13/17 13:38
1,2,1,null,null,null,28,37,Exit Episode Staff Meeting,null,12/13/17 13:38
1,2,1,null,null,null,29,37,Exit Episode Staff Meeting,null,12/13/17 13:39
1,2,1,null,null,null,30,37,Exit Episode Staff Meeting,null,12/13/17 13:39
1,2,1,null,null,null,31,37,Exit Episode Staff Meeting,null,12/13/17 13:39
1,2,1,null,null,null,32,37,Exit Episode Staff Meeting,null,12/13/17 13:39
1,2,1,null,null,null,33,37,Exit Episode Staff Meeting,null,12/13/17 13:39
1,2,1,null,null,null,34,37,Exit Episode Staff Meeting,null,12/13/17 13:39
1,2,1,null,null,null,35,37,Exit Episode Staff Meeting,null,12/13/17 13:39
1,2,1,null,null,null,36,37,Exit Episode Staff Meeting,null,12/13/17 13:39
1,2,1,null,null,null,37,37,Exit Episode Staff Meeting,null,12/13/17 13:39
1,2,1,null,null,null,38,37,Exit Episode Staff Meeting,null,12/13/17 13:39
1,2,1,null,null,null,39,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,40,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,41,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,42,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,43,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,44,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,45,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,46,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,47,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,48,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,49,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,50,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,51,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,52,37,Exit Episode Staff Meeting,null,12/13/17 13:40
1,2,1,null,null,null,53,37,Exit Episode Staff Meeting,null,12/13/17 18:10
1,2,1,null,null,null,54,37,Exit Episode Staff Meeting,null,12/13/17 18:10
1,2,1,null,null,null,55,37,Exit Episode Staff Meeting,null,12/13/17 18:10
1,2,1,null,null,null,56,37,Exit Episode Staff Meeting,null,12/13/17 18:11
1,2,1,null,null,null,57,37,Exit Episode Staff Meeting,null,12/13/17 18:11
1,2,1,null,null,null,58,37,Exit Episode Staff Meeting,null,12/13/17 18:13
1,2,1,null,null,null,59,37,Exit Episode Staff Meeting,null,12/13/17 18:13
1,2,1,null,null,null,60,37,Exit Episode Staff Meeting,null,12/13/17 18:14
1,2,1,null,null,null,61,37,Exit Episode Staff Meeting,null,12/13/17 18:17
1,2,1,null,null,null,62,37,Exit Episode Staff Meeting,null,12/13/17 18:17
1,2,1,null,null,null,63,37,Exit Episode Staff Meeting,null,12/13/17 18:21
1,2,1,null,null,null,64,37,Exit Episode Staff Meeting,null,12/13/17 21:50
1,2,1,null,null,null,65,37,Exit Episode Staff Meeting,null,12/13/17 21:51
1,2,1,null,null,null,66,37,Exit Episode Staff Meeting,null,12/13/17 21:52
1,2,1,null,null,null,67,37,Exit Episode Staff Meeting,null,12/13/17 21:54
1,2,1,null,null,null,68,37,Exit Episode Staff Meeting,null,12/14/17 1:44
1,2,1,null,null,null,69,37,Exit Episode Staff Meeting,null,12/14/17 1:44
1,2,1,null,null,null,70,37,Exit Episode Staff Meeting,null,12/14/17 1:44
1,2,1,null,null,null,71,37,Exit Episode Staff Meeting,null,12/14/17 1:44
1,2,1,null,null,null,72,37,Exit Episode Staff Meeting,null,12/14/17 1:47
